Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *13201*, maximize the value without exceeding the total weight.

---

value,weight
443,910
855,399
293,817
845,502
950,35
666,700
422,284
340,798
139,668
947,589
412,378
868,470
896,427
75,31
116,179
453,351
67,252
243,259
679,464
842,617
862,644
976,50
961,35
729,977
294,859
263,291
189,393
176,842
679,524
505,602
58,64
585,582
617,154
448,728
744,27
70,596
502,387
840,855
299,187
900,521
641,430
614,636
910,45
852,464
7,470
724,269
761,728
597,308
81,30
578,179
20,245
779,299
544,796
582,559
977,767
707,42
647,464
445,677
805,443
268,941
909,339
967,861
598,574
790,669
743,594
582,239
214,715
342,129
817,627
502,716
302,388
32,520
878,629
902,618
435,390
963,123
563,769
366,382
693,471
576,997
648,620
367,696
202,881
195,372
46,652
453,780
879,790
192,615
257,889
303,102
647,59
830,367
438,395
5,226
825,31
959,744
806,520
953,915
901,795
477,943

---

Please maximize the value and give me the answer.
