Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *35726*, maximize the value without exceeding the total weight.

---

value,weight
377,900
645,565
11,351
435,364
740,961
832,226
44,994
82,308
681,634
65,11
570,128
490,940
926,849
633,373
722,129
859,797
521,306
513,601
613,614
448,87
36,530
70,352
383,705
271,71
340,345
21,641
883,863
286,312
181,66
199,16
104,854
487,772
263,480
150,558
630,633
932,314
148,361
958,917
193,513
418,47
751,492
500,890
484,475
138,102
485,892
338,923
823,710
595,314
903,452
40,881
994,163
337,353
62,226
260,477
303,325
233,744
525,966
339,723
371,873
578,259
787,833
797,875
500,524
4,59
941,584
948,949
548,201
916,903
543,801
396,490
340,426
134,182
404,979
220,288
665,212
449,417
33,343
548,28
355,29
438,219
670,146
333,742
152,975
777,522
508,218
891,994
373,20
174,445
575,479
85,964
157,289
980,805
140,313
955,904
999,197
597,510
28,318
855,553
331,465
763,893

---

Please maximize the value and give me the answer.
