Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *20901*, maximize the value without exceeding the total weight.

---

value,weight
822,264
7,828
416,914
860,603
466,428
289,826
186,773
620,772
887,477
707,218
183,412
971,819
603,524
426,868
823,221
524,693
510,525
138,328
955,273
714,30
650,869
399,504
476,132
48,95
385,885
463,856
160,738
480,496
26,94
641,719
5,394
680,604
604,644
167,853
60,396
429,169
569,820
631,37
135,532
596,399
292,935
670,266
698,774
675,22
939,783
403,803
581,562
85,178
645,263
914,744
479,207
115,664
971,429
853,4
764,9
890,504
787,537
916,795
112,284
747,402
784,877
574,115
210,552
478,619
619,164
309,196
585,725
566,879
445,900
830,514
833,718
807,606
777,310
470,247
503,560
970,193
958,51
885,539
696,841
224,979
75,14
166,982
310,299
618,602
681,286
501,874
906,424
983,940
388,114
95,227
346,797
598,165
538,165
645,360
356,888
903,85
217,361
680,753
777,772
437,372

---

Please maximize the value and give me the answer.
