Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *26621*, maximize the value without exceeding the total weight.

---

value,weight
702,688
471,28
896,66
684,499
90,428
969,98
210,21
644,508
983,101
627,666
407,444
59,155
811,196
570,580
343,85
404,909
830,861
450,560
771,65
298,270
922,181
647,368
116,204
432,119
1,853
503,64
648,594
584,640
914,126
193,479
749,922
752,796
556,276
695,877
788,916
357,393
841,228
327,349
583,292
212,87
492,599
950,882
570,262
683,318
835,263
803,987
149,914
389,298
725,775
146,304
47,487
195,480
459,885
613,220
588,121
450,1000
411,329
204,571
72,868
299,282
408,885
822,467
346,160
310,323
979,396
501,668
33,629
534,807
933,172
246,282
569,294
807,638
145,742
478,95
191,768
810,177
70,307
133,875
696,113
896,627
115,414
694,726
142,579
434,426
169,662
901,738
466,80
463,60
300,130
423,867
986,517
166,565
290,381
253,216
12,504
39,685
993,929
40,761
553,716
285,140

---

Please maximize the value and give me the answer.
