Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *9255*, maximize the value without exceeding the total weight.

---

value,weight
826,628
635,1000
548,158
624,759
30,928
621,566
446,49
584,344
243,393
503,870
819,40
135,167
319,368
534,328
691,425
880,17
530,817
494,628
703,437
190,346
742,49
203,708
192,376
148,707
109,433
403,692
76,926
324,780
870,194
813,931
537,926
868,640
176,872
875,641
496,264
713,333
13,856
235,217
787,920
24,395
168,115
722,518
390,218
487,930
919,211
775,879
729,710
305,646
673,171
566,228
803,787
319,468
239,745
889,680
704,693
78,84
175,349
632,807
172,408
391,934
172,217
202,439
654,140
730,359
607,464
345,312
61,369
938,691
889,992
354,38
53,650
955,410
549,338
810,651
795,100
710,541
114,519
513,887
20,109
540,831
191,266
698,866
738,879
70,894
653,250
225,902
214,940
939,760
696,294
251,415
886,217
570,889
438,193
881,428
576,316
523,9
877,685
316,213
965,856
313,896

---

Please maximize the value and give me the answer.
