Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *12090*, maximize the value without exceeding the total weight.

---

value,weight
237,51
566,31
927,597
771,470
977,215
200,557
881,656
755,863
390,576
466,781
998,383
506,918
154,407
345,463
974,712
379,24
437,656
993,715
354,572
57,193
705,680
502,819
939,815
535,554
16,384
94,307
935,805
775,371
409,81
608,378
668,469
247,719
19,727
374,32
211,223
68,292
240,759
422,408
462,647
491,146
699,658
885,29
953,769
946,953
762,618
858,374
868,173
500,205
828,194
241,195
398,642
842,355
10,328
468,599
219,860
281,939
490,660
291,54
495,863
642,389
663,632
45,270
617,979
5,350
698,551
836,47
928,32
109,650
940,631
885,157
336,241
6,33
768,81
989,962
222,627
761,380
413,902
532,550
351,116
799,942
162,953
477,969
381,998
721,997
248,185
44,821
225,723
774,879
619,925
286,206
177,112
77,208
537,760
748,411
859,459
30,616
712,340
407,348
256,599
756,927

---

Please maximize the value and give me the answer.
