Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *22484*, maximize the value without exceeding the total weight.

---

value,weight
28,475
296,844
782,134
934,283
439,248
755,321
727,401
205,707
636,921
188,674
597,407
981,371
697,544
156,436
965,688
950,20
788,769
388,872
280,517
499,454
455,833
225,735
850,352
242,518
663,360
632,840
414,326
881,615
296,537
538,943
395,989
18,467
202,71
241,549
593,200
431,473
183,96
49,132
972,72
5,774
234,707
399,521
303,50
229,885
184,987
269,50
474,469
182,281
546,451
251,728
453,458
700,608
857,897
319,964
522,268
668,255
944,693
70,418
774,512
373,306
30,584
496,706
191,147
615,938
664,207
55,388
519,56
151,710
970,896
95,73
799,513
833,93
887,858
735,255
364,675
172,936
756,918
719,371
686,844
1,34
561,33
56,709
131,182
444,329
479,753
910,833
560,491
401,324
674,430
112,123
168,744
351,324
439,800
902,527
674,460
832,213
311,189
226,968
422,968
158,388

---

Please maximize the value and give me the answer.
