Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *2672*, maximize the value without exceeding the total weight.

---

value,weight
652,486
773,586
790,280
682,337
488,354
111,936
928,539
242,954
245,675
225,696
813,354
393,17
353,938
264,58
477,851
234,355
364,139
848,454
753,519
752,4
112,139
605,134
50,498
374,13
647,883
373,110
710,872
70,246
792,68
575,685
979,192
814,834
786,810
229,211
714,698
355,415
559,50
861,131
789,762
386,893
106,29
748,144
560,764
217,532
585,101
313,593
155,432
915,880
363,773
568,646
965,77
921,694
49,227
83,194
26,359
320,374
545,431
314,313
526,794
537,24
542,387
516,425
376,758
180,81
425,290
363,546
623,691
300,421
787,714
292,800
839,116
205,460
111,852
156,677
941,694
904,567
868,753
827,561
358,743
374,257
249,540
788,308
100,345
472,40
463,732
939,768
544,22
565,170
850,384
829,185
656,427
556,251
536,355
499,110
10,30
509,795
207,671
782,943
735,74
427,482

---

Please maximize the value and give me the answer.
