Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *19752*, maximize the value without exceeding the total weight.

---

value,weight
233,335
938,859
147,353
7,314
413,715
868,465
269,28
791,643
386,12
670,481
10,755
342,570
438,915
885,3
754,156
23,348
417,364
637,415
254,408
933,877
613,148
698,615
223,571
435,942
940,836
802,471
667,265
931,87
565,981
436,166
784,937
707,331
799,499
666,244
127,3
784,128
796,723
466,228
458,611
415,150
823,478
481,129
261,325
134,397
782,838
134,298
720,25
280,385
800,286
589,359
74,62
638,551
390,12
432,923
279,176
93,359
102,496
223,394
435,739
998,857
275,292
417,946
173,743
753,258
710,251
800,579
452,388
385,190
848,539
361,633
116,309
858,581
996,53
649,910
578,439
21,32
905,434
904,202
27,200
131,90
46,53
945,85
953,66
269,705
276,221
320,793
565,559
818,59
311,745
130,18
637,692
753,484
989,84
160,695
639,31
410,692
52,368
771,536
68,163
880,403

---

Please maximize the value and give me the answer.
