Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *30591*, maximize the value without exceeding the total weight.

---

value,weight
818,900
379,304
636,318
96,447
902,928
957,86
574,497
656,552
531,913
911,566
195,784
455,471
239,32
966,760
603,17
168,17
490,881
782,676
855,461
590,714
558,337
595,300
112,240
948,483
309,337
523,20
892,198
636,212
182,994
469,859
121,862
140,216
32,768
459,65
976,176
145,5
477,432
27,857
131,496
520,755
416,755
266,14
6,330
863,466
959,355
679,79
433,766
865,358
265,707
262,908
507,627
911,212
351,113
169,328
824,677
54,924
47,725
200,135
52,160
751,222
44,537
594,791
414,964
226,527
983,512
921,728
109,81
842,419
1,808
954,342
613,434
659,154
653,634
482,195
859,372
230,845
450,583
257,191
20,573
556,775
959,114
634,98
882,719
518,662
61,674
425,846
246,260
27,120
80,286
939,687
158,377
274,89
990,489
409,644
488,460
283,161
557,37
396,941
941,688
209,200

---

Please maximize the value and give me the answer.
