Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *30283*, maximize the value without exceeding the total weight.

---

value,weight
407,829
448,273
905,879
949,736
307,641
378,95
139,890
485,681
384,730
948,655
368,441
84,72
404,993
507,625
320,730
669,362
583,42
283,589
204,326
371,219
243,58
296,189
365,801
561,636
754,386
832,53
33,671
185,269
643,755
26,412
342,671
761,489
837,561
312,674
909,569
142,46
250,529
840,314
808,769
701,4
885,564
455,503
91,779
52,443
116,300
948,584
294,303
670,151
110,332
587,293
912,772
36,325
932,530
590,761
309,510
851,69
732,766
541,888
729,353
500,767
905,122
103,960
451,125
951,888
892,425
782,345
890,66
23,460
950,169
423,223
330,843
608,531
434,891
303,532
432,845
827,358
503,200
590,528
689,566
297,664
988,427
503,643
239,952
867,559
466,739
606,927
587,125
192,649
157,655
552,248
867,482
767,770
539,922
542,661
205,317
776,554
722,30
305,806
650,297
766,817

---

Please maximize the value and give me the answer.
