Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *22018*, maximize the value without exceeding the total weight.

---

value,weight
586,476
915,104
156,814
272,551
278,928
629,462
198,897
632,816
435,289
991,118
971,752
15,487
383,360
822,400
83,153
640,801
170,193
470,444
687,669
6,826
286,25
347,436
472,168
564,107
693,369
483,460
404,342
532,68
294,610
917,99
377,334
716,24
80,136
931,41
600,656
217,781
205,24
979,193
683,88
904,67
568,443
986,750
134,194
503,170
63,523
927,895
865,414
913,238
185,195
30,348
939,347
479,748
215,657
409,112
1000,565
494,428
423,933
560,359
92,576
199,342
420,881
698,791
278,356
394,471
623,280
729,256
309,177
874,843
865,536
538,574
877,506
307,122
285,202
474,347
171,164
390,861
338,679
9,207
20,653
884,127
271,714
754,354
402,439
702,190
925,650
25,982
686,252
547,1000
168,622
259,47
166,657
706,689
590,273
449,788
184,196
147,561
781,469
36,581
165,744
361,432

---

Please maximize the value and give me the answer.
