Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *9907*, maximize the value without exceeding the total weight.

---

value,weight
884,910
589,138
918,784
506,233
112,354
791,560
952,787
266,690
341,299
145,144
389,386
833,1
209,610
408,418
997,715
762,571
684,827
160,686
921,311
984,244
384,803
853,998
690,218
406,37
615,851
413,318
198,728
174,390
680,452
127,445
723,72
238,26
738,442
757,235
90,570
283,639
831,458
909,795
237,522
2,229
306,693
380,760
432,252
225,828
481,581
713,425
371,784
219,352
443,285
800,206
533,357
1,158
185,35
491,410
498,471
880,870
169,223
954,89
486,378
441,904
166,43
764,777
512,366
12,137
433,522
907,18
423,595
268,997
923,986
708,568
575,44
205,492
479,284
812,525
629,902
744,551
980,9
75,545
358,15
46,905
289,940
316,52
932,625
936,512
599,756
339,632
104,30
45,290
762,48
157,177
296,147
124,651
288,571
459,966
314,294
645,747
983,239
142,303
159,18
275,250

---

Please maximize the value and give me the answer.
