Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *6288*, maximize the value without exceeding the total weight.

---

value,weight
415,557
704,617
169,719
477,48
435,641
690,927
11,794
413,825
744,858
188,607
992,697
764,768
836,977
75,193
408,138
381,362
271,978
347,541
404,654
971,851
427,770
904,597
445,937
761,860
554,834
64,725
569,399
873,189
331,955
370,132
758,735
841,913
981,665
376,250
429,657
710,374
786,953
48,674
112,841
205,644
637,572
911,655
475,315
676,555
428,156
44,736
942,247
110,439
518,796
243,613
560,932
444,581
468,162
310,113
541,526
523,229
860,390
973,560
849,601
788,479
33,802
359,256
339,949
455,720
516,377
854,929
842,354
119,380
838,353
823,919
122,59
904,435
330,595
983,988
368,221
307,54
815,136
846,224
689,750
281,368
220,227
567,411
95,112
771,143
58,667
758,335
203,157
752,289
773,663
864,976
947,322
63,570
987,274
366,93
293,173
16,402
42,678
873,78
674,465
870,513

---

Please maximize the value and give me the answer.
