Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *31501*, maximize the value without exceeding the total weight.

---

value,weight
113,759
402,411
275,505
831,210
37,715
548,89
645,628
815,379
482,636
590,929
586,787
782,906
294,235
29,715
626,20
903,916
737,700
949,647
422,848
517,765
885,460
946,831
863,643
819,966
908,804
842,31
507,473
35,231
453,13
988,926
528,465
131,523
751,131
194,268
503,875
360,352
68,131
514,892
906,371
31,838
23,142
113,393
133,813
142,341
678,670
534,130
936,377
584,857
880,798
821,919
642,342
718,367
878,468
192,139
751,288
653,855
726,288
863,818
395,675
902,737
899,300
313,298
661,351
585,314
718,483
992,51
252,292
353,766
984,163
777,401
852,237
858,613
364,485
305,758
266,647
213,16
17,690
152,538
27,120
803,738
86,453
473,829
785,346
85,177
412,245
720,657
477,215
298,179
223,409
810,658
277,412
673,884
389,300
120,199
943,647
546,292
828,936
131,896
844,107
728,171

---

Please maximize the value and give me the answer.
