Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *5166*, maximize the value without exceeding the total weight.

---

value,weight
710,416
727,724
808,906
212,811
218,428
281,930
434,925
572,300
343,581
867,970
383,700
91,851
891,532
138,148
431,493
116,909
518,149
514,512
971,41
898,902
106,893
903,776
548,340
632,343
801,949
383,736
832,322
272,208
602,326
537,551
165,338
832,220
348,380
111,453
308,4
925,721
377,652
887,709
239,364
716,727
244,607
406,386
954,798
307,782
147,471
899,139
445,858
829,586
133,239
450,624
695,647
603,384
995,517
685,572
468,137
122,512
539,953
988,595
192,116
939,994
536,213
78,763
234,984
814,507
603,348
925,252
985,917
630,727
821,356
646,330
361,862
455,894
689,798
806,551
127,496
938,225
734,243
389,219
696,649
528,331
347,566
758,494
646,739
338,658
409,238
701,146
434,112
23,700
916,786
735,595
66,357
462,13
386,85
77,1000
748,8
631,533
313,225
960,33
929,236
389,836

---

Please maximize the value and give me the answer.
