Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *52857*, maximize the value without exceeding the total weight.

---

value,weight
225,607
682,163
883,513
479,2
285,67
556,985
397,476
863,499
26,532
430,177
386,499
310,874
6,579
317,787
666,748
311,348
729,76
573,463
406,80
685,245
429,436
90,559
143,435
235,718
140,388
922,799
483,537
243,519
877,781
92,446
368,521
627,907
7,395
250,668
607,915
216,800
260,299
258,868
154,539
911,510
71,118
25,625
877,789
510,933
470,982
686,146
72,433
192,97
392,822
933,39
426,550
230,647
854,732
712,571
47,512
421,199
622,872
791,370
315,843
710,145
147,964
809,650
285,919
249,426
86,299
376,995
500,100
289,918
960,707
961,937
324,93
210,677
100,349
969,454
642,63
893,984
241,498
648,858
27,664
147,386
814,901
881,317
449,906
365,473
36,293
168,385
949,527
258,419
695,737
818,290
557,852
809,684
541,732
688,911
903,527
170,844
732,720
203,264
44,995
776,707

---

Please maximize the value and give me the answer.
