Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *46406*, maximize the value without exceeding the total weight.

---

value,weight
520,818
705,270
874,700
862,765
420,854
795,988
468,607
374,326
625,255
109,540
777,502
637,957
61,782
380,742
689,103
694,247
976,247
740,434
973,819
612,296
108,559
441,738
894,838
106,201
739,855
241,162
98,812
994,538
148,152
611,513
775,124
618,214
374,110
633,871
486,614
431,147
851,998
97,255
929,62
422,593
678,505
872,4
356,272
789,808
189,945
893,549
575,44
559,596
7,265
492,50
561,617
389,802
381,87
735,382
326,123
20,130
301,435
806,405
658,6
509,660
650,375
528,805
180,954
256,861
173,270
95,318
995,663
800,265
591,710
784,996
563,896
409,136
811,552
144,17
401,986
524,155
160,605
191,853
34,211
394,997
941,240
720,400
352,533
932,988
387,216
463,196
828,482
529,478
486,860
689,909
28,887
856,127
292,543
399,466
358,362
433,975
3,619
938,219
947,414
295,30

---

Please maximize the value and give me the answer.
