Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *45276*, maximize the value without exceeding the total weight.

---

value,weight
167,677
728,377
513,887
597,528
203,641
386,991
891,738
533,153
576,626
788,903
168,153
964,40
468,337
443,697
712,458
429,794
223,66
907,405
540,558
539,347
787,34
792,917
645,593
977,36
986,322
912,173
361,735
393,557
67,523
130,580
182,727
609,521
93,825
368,74
13,961
646,494
442,697
584,290
704,937
933,676
285,540
367,383
835,755
420,35
908,260
100,600
430,7
278,743
622,356
51,61
48,332
548,605
556,442
110,841
605,734
619,61
980,998
469,88
649,521
308,175
153,138
247,312
75,341
615,648
908,241
166,289
138,874
959,612
574,713
607,407
154,699
960,243
170,403
319,228
808,261
507,326
727,360
86,848
689,758
641,960
68,227
911,131
903,512
499,855
738,787
406,655
707,789
800,889
629,335
912,880
147,922
903,922
691,354
110,373
813,197
48,106
626,166
25,174
850,833
814,353

---

Please maximize the value and give me the answer.
