Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *25679*, maximize the value without exceeding the total weight.

---

value,weight
349,547
494,135
535,253
419,262
225,215
208,453
633,504
803,335
934,824
306,29
798,95
386,238
866,399
633,535
366,88
787,808
77,32
617,531
338,804
225,321
249,304
646,547
867,607
303,954
248,320
822,427
911,869
983,659
833,497
712,546
156,525
743,103
275,991
430,80
315,263
572,740
432,927
166,736
358,815
723,170
99,634
797,261
697,745
314,545
554,578
10,38
652,877
108,445
340,218
705,315
182,202
354,635
634,240
988,31
515,732
49,283
738,892
219,606
415,383
450,797
911,296
541,622
241,547
669,110
714,367
220,639
528,840
45,802
916,527
69,693
808,97
358,97
504,945
653,658
598,43
793,348
637,62
28,870
351,660
143,590
242,753
885,457
45,206
1,941
520,233
844,549
345,387
734,119
91,253
646,838
457,552
213,8
689,192
316,771
467,339
654,168
616,476
127,716
456,135
804,463

---

Please maximize the value and give me the answer.
