Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *8099*, maximize the value without exceeding the total weight.

---

value,weight
473,839
658,755
539,345
359,522
165,715
860,569
869,532
743,171
842,764
182,233
210,43
462,250
726,571
949,283
714,780
615,916
777,988
13,599
270,176
117,749
69,172
554,887
943,779
19,190
708,900
74,703
691,201
723,799
141,565
332,998
944,529
859,299
543,587
258,844
23,611
928,680
604,555
722,252
562,443
183,478
775,150
569,897
517,701
766,805
990,526
982,282
584,321
24,793
288,262
125,239
938,502
478,271
766,100
264,491
983,304
677,367
854,264
295,842
515,571
190,449
675,628
921,594
549,175
89,146
694,435
416,635
204,580
449,38
872,995
177,449
292,453
506,517
260,541
985,214
202,23
341,712
681,626
408,882
27,656
787,794
318,253
537,597
289,858
637,761
4,173
520,713
93,895
210,819
839,417
122,386
357,252
617,332
837,652
592,983
31,151
138,140
148,232
51,168
868,627
832,219

---

Please maximize the value and give me the answer.
