Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *10547*, maximize the value without exceeding the total weight.

---

value,weight
32,839
924,16
914,378
698,791
3,748
735,61
339,29
169,279
992,485
984,326
585,35
497,719
61,388
616,896
833,892
306,696
808,413
744,172
28,329
623,770
547,365
677,587
566,596
342,130
739,908
572,676
682,866
725,899
140,637
710,155
927,873
558,855
422,299
949,337
29,68
715,637
627,484
653,312
624,108
81,770
110,887
803,773
347,494
41,441
516,415
641,126
974,265
402,749
926,7
903,212
777,390
256,412
125,213
355,640
462,600
504,187
332,505
786,430
834,636
17,486
418,924
124,678
635,383
867,678
652,507
91,504
995,700
523,170
414,988
619,597
371,445
981,545
659,886
723,307
8,863
560,636
264,386
699,719
362,112
669,886
677,933
588,593
559,762
896,269
451,717
634,861
220,7
357,496
334,610
268,311
708,164
323,48
987,476
138,243
542,888
452,137
971,513
862,780
610,404
34,912

---

Please maximize the value and give me the answer.
