Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *40161*, maximize the value without exceeding the total weight.

---

value,weight
756,606
797,994
134,448
450,817
608,354
807,352
456,483
362,634
77,443
825,640
989,810
593,641
633,946
984,210
429,171
930,139
316,227
760,318
889,423
320,852
472,403
493,806
898,154
590,189
79,371
221,206
502,208
942,966
528,284
335,133
51,536
582,794
898,970
869,683
946,2
643,535
215,794
397,99
29,858
114,925
754,997
556,872
920,204
961,12
417,205
17,457
643,544
83,184
467,333
376,446
453,477
673,718
137,859
531,274
90,567
64,206
665,39
810,841
678,714
57,720
662,371
404,481
112,150
340,9
817,154
675,906
919,211
140,653
523,74
76,288
871,756
909,620
951,660
140,917
381,382
104,487
428,977
67,185
358,751
734,849
97,540
132,28
260,393
200,752
495,204
587,88
48,654
965,418
706,704
525,89
208,27
396,603
592,435
595,38
530,54
541,851
791,159
934,391
559,442
371,322

---

Please maximize the value and give me the answer.
