Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *15948*, maximize the value without exceeding the total weight.

---

value,weight
559,122
763,323
33,69
257,450
762,535
6,688
786,408
352,490
39,480
583,137
200,70
912,786
324,263
823,211
376,111
569,459
727,920
223,727
763,860
134,61
498,800
276,982
957,71
597,989
602,343
283,895
433,997
228,414
947,40
781,982
430,4
973,354
93,646
212,564
932,287
858,208
138,591
188,11
847,391
208,189
565,586
930,768
346,465
680,612
131,210
248,361
45,580
425,368
621,962
694,783
128,33
495,31
788,24
138,667
565,323
663,614
635,860
89,241
137,735
720,881
545,343
91,185
18,378
706,521
747,710
354,299
938,167
2,93
885,263
210,776
346,176
532,36
738,169
554,718
103,994
383,791
943,45
490,50
17,931
588,497
844,320
307,68
942,21
279,608
938,664
329,536
11,618
108,675
37,397
819,922
467,919
938,891
138,503
809,654
653,339
203,220
18,628
957,95
289,767
753,3

---

Please maximize the value and give me the answer.
