Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *3495*, maximize the value without exceeding the total weight.

---

value,weight
505,556
437,709
795,687
139,132
596,961
816,434
540,298
986,716
945,490
385,515
618,352
730,300
150,513
409,581
290,25
691,581
241,906
265,969
645,150
112,479
948,578
430,544
175,121
439,919
524,825
213,105
579,735
870,736
333,882
991,328
776,742
143,356
751,952
38,110
774,201
572,66
764,25
118,613
401,825
306,351
303,188
676,778
996,523
402,270
901,620
34,891
551,302
731,482
879,404
464,641
74,395
17,441
110,50
220,965
711,877
697,408
381,150
483,971
531,537
314,91
291,505
157,171
252,388
676,187
557,304
180,61
52,585
44,247
295,713
380,770
44,714
430,406
580,251
892,896
913,380
89,481
585,375
556,388
355,293
750,275
862,546
869,766
824,855
513,282
612,770
291,186
429,44
606,965
279,823
717,700
597,409
708,853
836,449
819,832
783,437
701,406
572,398
415,465
283,689
667,821

---

Please maximize the value and give me the answer.
