Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *36001*, maximize the value without exceeding the total weight.

---

value,weight
82,41
622,810
20,164
700,601
957,822
593,223
621,511
923,833
730,911
386,648
179,125
163,857
519,646
570,418
699,774
476,250
274,135
346,630
46,875
521,36
357,407
719,821
632,302
400,236
741,878
702,630
268,940
887,293
262,695
680,949
697,603
848,465
544,765
415,355
103,286
717,967
557,662
119,530
418,638
907,964
496,105
5,511
5,992
507,227
766,577
483,520
968,747
876,167
288,9
481,870
859,448
530,198
535,519
885,18
24,714
634,813
198,403
676,688
28,710
779,744
284,422
78,720
605,137
645,272
854,613
229,626
405,638
757,556
912,446
925,79
101,623
935,75
693,776
397,725
906,937
466,246
466,588
653,33
700,482
191,256
543,807
494,11
249,348
210,655
805,295
596,183
142,65
903,34
432,356
214,993
38,254
581,10
389,502
244,349
544,362
982,27
757,771
120,598
428,694
244,570

---

Please maximize the value and give me the answer.
