Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *23978*, maximize the value without exceeding the total weight.

---

value,weight
86,405
250,982
152,408
464,757
521,322
925,963
233,139
887,53
734,827
830,300
167,753
679,205
235,138
30,878
919,330
832,574
294,779
54,930
146,39
645,352
449,587
523,25
348,546
500,848
817,426
642,466
536,128
731,577
106,795
852,809
581,135
36,853
764,993
123,143
187,506
1,779
1,698
723,710
70,674
335,608
20,285
57,763
697,436
319,783
746,357
207,596
116,895
96,987
316,565
133,354
831,28
734,650
803,835
921,694
316,46
470,393
586,215
392,700
88,834
423,276
672,762
58,44
49,373
897,364
842,265
265,94
881,282
129,16
356,538
449,603
321,907
83,527
817,804
737,129
550,477
206,946
622,56
281,381
24,750
507,108
659,707
26,895
677,928
310,947
777,259
672,211
802,581
859,854
740,184
370,533
578,674
905,86
289,178
480,65
412,438
602,951
417,95
404,58
616,130
120,94

---

Please maximize the value and give me the answer.
