Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *40312*, maximize the value without exceeding the total weight.

---

value,weight
846,253
530,734
760,416
112,549
769,322
933,859
985,987
935,525
278,723
670,548
967,465
559,173
947,482
318,598
311,706
240,358
934,803
678,746
130,271
813,480
993,563
19,105
628,338
268,600
401,362
722,586
864,544
939,865
530,211
956,977
69,191
884,237
20,905
179,191
291,546
857,579
193,866
467,38
966,194
215,632
420,613
321,995
441,60
687,375
538,669
359,612
252,599
704,227
828,589
597,474
967,588
894,930
779,747
441,126
612,270
238,385
834,799
320,252
8,2
231,684
272,426
202,396
673,941
561,476
858,81
649,38
129,90
65,168
980,82
633,139
145,763
435,591
553,316
401,825
926,541
886,914
846,216
777,701
24,294
851,404
387,507
82,383
341,488
942,891
49,659
472,939
922,893
467,94
212,512
378,165
858,114
41,886
441,610
48,777
20,318
226,503
321,879
124,778
816,666
168,278

---

Please maximize the value and give me the answer.
