Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *11084*, maximize the value without exceeding the total weight.

---

value,weight
179,769
612,893
909,971
889,996
247,141
30,563
375,918
425,517
292,670
824,507
780,37
160,84
264,813
471,373
20,70
497,470
931,998
327,657
488,698
911,295
63,926
852,529
441,973
277,872
862,966
84,681
813,3
925,761
599,823
646,512
130,323
877,333
457,157
140,438
617,917
498,986
422,157
396,830
12,45
513,312
913,728
227,139
911,735
856,703
200,896
920,828
226,747
938,499
58,728
359,217
668,72
160,313
712,390
866,221
777,82
479,153
848,786
617,124
829,893
240,419
669,454
483,932
759,753
371,572
520,493
626,341
566,806
779,344
906,989
531,979
814,847
756,951
838,135
987,88
388,825
727,722
547,764
970,540
365,562
293,868
416,927
507,783
835,252
503,379
950,679
282,443
983,985
316,349
553,171
380,796
767,182
523,446
687,382
170,521
121,129
260,878
606,786
229,258
62,437
794,573

---

Please maximize the value and give me the answer.
