Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *36000*, maximize the value without exceeding the total weight.

---

value,weight
319,970
43,427
641,725
905,890
10,535
14,584
538,256
752,962
231,728
71,385
1000,782
792,106
36,255
111,283
768,839
977,243
367,296
199,543
747,92
302,189
42,776
420,710
237,863
13,389
186,927
11,15
761,61
436,702
723,808
885,150
918,60
469,738
349,910
268,964
36,679
714,656
330,759
932,987
743,911
440,213
965,914
194,1000
90,441
48,204
923,522
752,377
181,284
681,960
133,986
806,903
264,593
655,311
764,936
658,99
509,547
79,958
883,444
17,441
57,903
528,289
793,7
235,537
642,946
370,633
763,526
738,243
186,975
938,245
509,807
42,960
818,32
884,100
474,33
570,414
479,410
63,759
167,205
986,370
369,475
932,793
572,120
363,556
606,229
559,552
210,712
777,264
483,930
716,915
509,725
827,554
747,359
74,43
290,935
377,366
261,219
475,772
922,764
29,463
489,303
449,539

---

Please maximize the value and give me the answer.
