Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *42165*, maximize the value without exceeding the total weight.

---

value,weight
551,394
507,979
769,229
377,786
634,535
342,856
562,504
776,698
327,352
991,185
576,814
232,90
892,927
903,643
288,703
857,459
687,984
511,775
563,532
534,429
314,440
668,574
877,935
397,765
802,895
51,223
249,269
540,846
259,840
437,910
662,588
893,578
301,542
796,988
764,199
290,232
602,167
980,651
191,319
704,549
813,226
474,616
962,577
56,148
819,354
152,209
397,636
985,80
213,498
38,463
832,873
735,775
252,392
66,315
333,659
639,454
507,236
657,217
17,487
432,169
769,663
483,889
778,554
202,689
123,110
930,715
986,879
906,821
997,79
810,728
554,960
884,132
842,465
226,262
167,618
255,743
279,109
234,354
369,747
604,793
612,520
243,300
438,509
375,376
698,736
177,128
43,938
196,35
421,389
507,194
387,79
642,443
690,799
337,222
565,483
611,372
698,332
389,823
913,247
649,307

---

Please maximize the value and give me the answer.
