Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *46926*, maximize the value without exceeding the total weight.

---

value,weight
814,536
751,132
504,74
332,291
338,428
977,994
962,869
692,980
527,349
467,914
559,156
939,475
523,540
506,300
383,461
812,693
470,237
74,376
755,297
466,398
466,157
791,96
396,996
848,871
233,789
231,184
624,10
792,928
338,542
649,999
589,330
600,828
812,540
751,277
540,308
861,841
33,396
423,677
479,460
444,759
540,927
214,762
962,238
51,910
627,575
955,3
285,618
997,890
237,799
610,424
183,47
355,760
83,797
133,652
532,345
218,344
307,913
132,123
992,36
107,690
656,549
966,819
970,728
974,435
995,212
885,612
633,437
470,959
557,716
430,818
393,150
159,702
881,606
142,791
215,184
490,497
294,115
629,195
696,305
240,923
843,214
102,214
806,139
66,370
441,710
349,466
938,744
71,948
772,458
783,499
618,957
302,365
442,813
821,928
620,384
663,237
897,713
760,129
753,604
333,676

---

Please maximize the value and give me the answer.
