Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *32417*, maximize the value without exceeding the total weight.

---

value,weight
876,182
333,442
654,944
626,921
984,354
127,728
80,883
338,898
981,819
905,192
765,130
153,305
777,626
840,850
557,307
50,571
996,539
96,86
721,983
736,612
200,91
245,942
610,82
206,813
463,403
533,998
14,1000
838,822
992,252
783,373
307,656
158,602
946,338
341,659
570,482
715,311
943,34
701,435
581,98
498,589
554,685
924,256
48,716
601,716
521,725
617,273
75,192
779,64
35,821
144,886
885,197
593,254
649,403
771,58
266,455
856,710
41,247
522,65
718,130
153,192
38,715
156,129
624,542
508,953
809,570
483,434
471,307
172,725
35,802
308,520
135,828
909,588
583,228
484,69
693,174
264,503
316,73
819,201
358,479
62,201
57,140
252,284
428,465
384,280
7,180
187,224
136,998
485,650
146,40
845,449
568,307
828,203
840,219
635,534
226,790
405,899
663,591
574,31
783,498
523,554

---

Please maximize the value and give me the answer.
