Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *16975*, maximize the value without exceeding the total weight.

---

value,weight
353,263
122,307
667,849
183,418
789,715
540,193
893,780
767,907
290,388
750,681
786,723
902,586
582,243
741,643
234,644
143,132
97,676
325,183
438,616
349,637
341,836
450,751
583,851
403,566
324,868
114,263
179,57
827,943
677,597
884,758
40,57
283,139
495,219
138,868
751,483
856,904
524,963
770,916
10,203
799,814
975,814
849,513
389,189
126,101
886,358
382,114
152,673
328,265
368,774
357,799
506,782
558,87
254,556
672,707
807,64
885,863
478,704
935,618
475,155
94,977
299,636
169,946
685,135
921,202
702,667
608,107
4,484
417,614
360,267
945,217
380,381
506,549
628,973
641,62
890,231
181,696
793,530
656,218
27,928
459,442
358,653
417,341
121,138
453,233
140,197
920,577
5,551
690,939
399,81
802,26
997,972
185,732
589,868
552,839
335,767
274,740
276,800
411,528
644,571
32,987

---

Please maximize the value and give me the answer.
