Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *47938*, maximize the value without exceeding the total weight.

---

value,weight
373,536
369,393
879,107
671,208
176,461
852,486
432,366
118,88
325,70
269,359
582,500
974,592
210,357
525,265
502,925
503,473
853,662
157,949
513,450
972,771
944,998
266,148
19,813
171,459
264,797
81,805
615,675
794,28
337,966
27,156
572,322
299,736
691,252
442,770
546,765
648,150
56,325
354,737
541,477
342,51
875,312
448,990
792,31
326,546
505,464
966,847
323,562
375,846
523,544
388,45
670,583
133,549
442,910
224,801
363,993
45,164
137,154
623,711
311,101
934,79
399,845
169,903
56,936
752,967
953,284
912,481
72,205
544,91
451,709
872,966
120,494
986,730
632,951
232,236
21,24
709,69
525,875
920,32
31,113
770,367
554,894
801,858
724,395
325,230
536,254
815,614
713,504
218,625
267,299
929,424
617,869
656,729
592,637
719,188
131,769
977,586
368,994
571,741
495,29
535,369

---

Please maximize the value and give me the answer.
