Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *18870*, maximize the value without exceeding the total weight.

---

value,weight
617,404
717,461
403,695
787,924
492,961
824,330
292,146
34,188
137,386
225,763
770,64
610,620
862,505
345,301
682,401
451,13
881,930
889,785
629,382
280,959
492,554
926,272
455,913
855,671
108,409
293,873
555,799
78,24
757,298
95,496
616,798
991,388
7,216
94,158
878,593
428,514
956,193
862,589
297,345
186,23
703,164
588,10
740,499
770,510
693,580
186,907
687,6
987,74
391,428
576,761
858,603
177,721
86,962
740,45
7,101
465,752
629,734
411,171
451,705
770,851
539,169
653,523
876,956
340,947
573,768
564,5
300,393
980,399
919,257
564,954
868,570
782,470
668,115
556,592
289,796
769,449
809,535
52,708
355,837
94,571
590,346
277,254
488,415
145,226
884,170
91,914
901,708
566,205
751,151
725,332
877,849
844,5
988,881
387,544
391,317
973,958
476,534
135,185
483,577
715,357

---

Please maximize the value and give me the answer.
