Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *24979*, maximize the value without exceeding the total weight.

---

value,weight
439,546
227,875
161,221
81,994
386,535
334,960
162,8
376,226
135,104
503,937
776,750
352,122
180,935
967,923
896,975
97,27
47,608
887,959
579,300
718,301
770,464
524,846
597,791
629,365
570,311
323,455
273,205
332,558
835,424
333,742
174,532
45,546
397,278
740,940
660,807
786,432
410,999
236,675
295,151
824,525
765,250
562,384
218,953
688,908
27,42
1000,193
613,932
377,488
701,474
926,343
696,313
575,495
276,480
898,883
37,435
871,110
259,652
729,17
97,319
624,761
169,999
339,537
154,338
538,577
755,294
546,771
738,71
970,669
373,535
626,192
82,104
532,68
106,601
562,566
791,202
223,775
55,301
738,34
17,203
260,145
532,720
835,812
774,301
743,80
74,688
729,400
571,274
588,795
597,61
147,562
107,639
506,291
538,719
769,510
957,603
339,820
146,196
317,103
713,359
601,771

---

Please maximize the value and give me the answer.
