Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *2033*, maximize the value without exceeding the total weight.

---

value,weight
299,345
796,693
429,467
65,100
623,141
702,291
999,670
401,781
196,46
904,59
204,357
720,100
408,493
327,661
148,206
617,254
611,310
15,425
320,258
679,407
791,614
604,313
801,901
893,496
246,350
44,121
973,795
821,617
63,439
94,104
386,795
805,141
505,525
612,414
241,45
570,762
150,749
700,518
564,637
897,976
713,416
595,523
39,247
848,759
304,416
168,644
658,395
634,379
978,216
127,657
100,792
80,497
224,934
106,5
953,970
919,657
224,994
329,348
869,309
336,539
45,798
235,932
271,145
539,868
512,909
434,869
766,902
811,768
770,717
115,211
78,919
404,919
470,703
979,240
700,617
887,386
435,860
722,556
13,290
621,220
376,527
979,39
3,972
687,555
814,655
882,579
423,329
188,581
993,507
700,156
127,462
955,46
287,166
562,665
465,865
772,926
478,218
869,898
638,493
946,805

---

Please maximize the value and give me the answer.
