Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *29297*, maximize the value without exceeding the total weight.

---

value,weight
760,970
425,166
266,692
214,973
172,854
787,92
68,759
326,854
433,7
269,292
977,438
757,989
349,790
92,670
297,375
286,463
984,871
116,618
989,587
444,168
564,935
945,10
614,46
690,801
155,919
513,42
770,396
786,250
372,384
507,345
935,68
770,830
470,846
577,471
382,222
927,699
659,830
353,279
33,894
542,921
630,177
608,124
612,296
773,568
397,985
741,533
791,340
303,4
495,241
28,930
777,57
877,522
405,175
567,950
30,899
252,138
53,851
526,853
738,838
701,252
402,711
32,453
556,738
592,101
805,454
711,374
395,855
864,113
967,166
600,812
91,40
57,72
75,688
480,321
25,570
844,187
584,445
695,533
34,19
50,701
213,440
664,912
688,325
652,44
115,168
663,116
356,170
569,590
14,532
681,277
748,447
720,327
140,111
831,106
750,482
161,423
451,483
218,851
747,526
247,494

---

Please maximize the value and give me the answer.
