Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *39514*, maximize the value without exceeding the total weight.

---

value,weight
493,112
553,841
399,603
847,312
552,461
172,862
56,118
94,352
229,446
349,559
358,468
534,256
354,685
381,553
982,61
975,905
181,974
845,717
697,10
740,531
672,686
18,284
379,741
139,83
648,829
41,597
127,467
690,884
801,582
475,396
476,794
875,544
739,620
914,394
818,245
72,926
784,565
306,73
93,717
726,715
27,648
816,374
920,543
966,250
609,984
214,663
755,210
71,726
443,32
156,485
102,303
53,85
954,454
464,585
539,881
837,668
513,362
335,287
351,517
30,199
775,837
921,551
920,328
920,263
945,52
720,9
624,653
576,515
963,437
456,198
384,566
634,698
912,519
224,388
333,816
869,85
413,971
672,696
31,841
98,367
514,846
273,114
892,115
509,758
400,230
415,750
153,848
90,505
355,635
249,784
977,149
88,329
840,421
759,332
827,505
489,634
592,778
211,733
719,437
687,601

---

Please maximize the value and give me the answer.
