Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *25162*, maximize the value without exceeding the total weight.

---

value,weight
291,617
892,997
517,627
537,788
495,141
38,459
127,766
473,989
484,918
664,755
580,101
688,404
976,157
759,445
60,798
905,254
923,22
303,473
472,930
79,423
607,902
348,257
721,765
693,272
94,902
812,449
789,67
133,697
375,239
750,32
970,731
725,717
361,421
548,838
721,309
2,434
614,325
492,158
908,213
393,984
961,56
139,19
655,711
224,295
344,208
72,844
10,451
194,91
570,752
471,337
804,632
672,593
688,302
34,653
73,954
247,145
744,370
897,324
749,61
48,827
917,470
979,284
383,969
35,684
888,309
10,285
814,614
715,496
882,533
715,163
638,703
108,15
926,999
651,784
764,241
407,690
771,924
466,212
365,754
637,164
144,727
915,271
499,812
135,323
574,727
82,171
455,297
276,589
377,499
388,428
47,622
659,246
839,814
738,233
729,9
532,430
158,922
949,626
262,325
842,109

---

Please maximize the value and give me the answer.
