Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *15979*, maximize the value without exceeding the total weight.

---

value,weight
501,192
809,185
663,443
375,976
32,461
836,694
280,22
22,144
589,574
589,863
982,724
566,952
434,669
949,121
422,469
687,905
221,262
909,317
545,986
988,163
856,398
626,340
459,229
339,307
448,925
273,269
311,195
26,452
489,782
819,116
244,858
603,968
531,724
330,970
338,981
288,902
320,989
514,433
397,789
230,355
427,8
272,526
304,431
590,362
569,840
662,815
403,154
511,662
851,496
460,805
750,463
461,989
842,734
536,289
771,545
509,828
641,338
767,959
471,413
318,911
551,165
529,199
808,152
424,95
569,652
792,593
576,941
672,787
851,621
856,246
824,782
282,954
808,223
904,844
269,192
349,781
77,907
928,40
31,25
82,423
746,646
337,882
748,275
61,990
992,158
215,158
121,880
650,145
971,643
561,512
57,989
384,129
288,773
231,116
915,9
81,482
912,74
131,5
95,605
791,297

---

Please maximize the value and give me the answer.
