Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *36842*, maximize the value without exceeding the total weight.

---

value,weight
287,253
264,825
385,383
773,632
579,641
58,719
515,490
509,417
480,354
868,103
592,473
524,56
260,665
299,985
840,594
549,578
903,378
595,173
372,766
955,107
515,370
544,53
5,521
593,660
370,354
872,613
873,527
289,413
531,139
578,172
86,199
185,329
141,193
840,50
637,89
718,270
170,289
888,978
256,177
317,340
85,876
87,119
963,267
412,739
12,780
348,768
862,655
974,271
190,844
819,853
480,52
116,141
420,986
350,625
781,622
59,565
356,206
829,664
689,937
404,647
529,130
999,960
587,733
783,592
900,9
974,817
338,970
991,36
438,441
191,639
66,771
608,211
802,971
311,380
120,53
667,342
615,456
838,864
689,838
969,312
28,827
383,387
71,232
683,31
602,763
6,791
147,781
320,769
69,319
232,888
507,202
335,170
291,138
502,517
509,933
912,506
498,598
665,166
74,889
966,585

---

Please maximize the value and give me the answer.
