Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *30475*, maximize the value without exceeding the total weight.

---

value,weight
966,829
66,534
280,912
288,653
145,322
253,587
609,387
911,789
182,99
750,748
391,785
119,189
91,810
174,238
439,842
360,142
614,467
366,162
962,479
229,240
721,899
771,889
988,266
884,224
433,394
682,26
24,336
835,721
642,827
404,569
325,663
460,45
68,273
651,167
915,26
929,3
273,458
771,374
518,434
599,296
220,949
689,379
569,572
327,79
642,837
607,428
684,247
400,107
748,77
365,914
399,308
814,466
291,291
681,910
788,158
678,889
210,7
32,476
48,418
327,804
648,418
954,44
537,333
729,420
850,497
457,566
681,186
97,592
492,810
865,371
57,835
83,559
185,884
393,977
238,333
46,930
734,960
529,365
24,22
179,756
699,107
554,639
509,208
126,419
913,283
72,75
362,237
339,974
652,848
698,173
218,394
473,486
689,394
88,921
716,54
90,903
193,311
764,418
392,722
968,510

---

Please maximize the value and give me the answer.
