Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *26856*, maximize the value without exceeding the total weight.

---

value,weight
497,828
181,13
531,847
611,468
116,961
504,954
668,394
58,924
233,10
145,211
994,96
50,604
718,177
489,13
202,265
331,581
201,618
201,17
445,174
864,847
764,866
822,488
95,985
239,695
724,377
333,433
395,7
182,168
645,682
647,256
360,326
415,580
959,848
622,182
254,113
356,738
228,953
910,253
745,753
802,711
903,828
220,626
612,987
778,806
589,412
938,739
255,358
291,194
471,940
808,321
426,883
257,537
574,770
500,261
831,213
673,248
901,174
51,947
411,289
674,379
163,177
901,875
364,564
172,3
933,352
756,477
100,297
948,975
407,529
980,722
604,498
782,150
36,547
564,440
977,4
609,433
921,439
300,44
355,109
766,571
630,746
805,998
320,695
961,698
372,194
491,778
461,364
694,325
663,815
405,972
517,569
412,405
388,97
995,400
695,581
461,558
252,750
495,193
907,521
563,125

---

Please maximize the value and give me the answer.
