Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *1492*, maximize the value without exceeding the total weight.

---

value,weight
447,274
483,571
425,61
609,658
514,535
998,792
34,560
304,370
495,584
743,889
400,6
32,466
612,919
535,139
336,383
809,27
735,896
599,911
427,628
966,933
954,176
780,254
677,279
829,589
370,407
203,127
457,933
20,126
523,624
677,462
590,596
125,970
189,382
156,516
180,895
354,760
946,423
444,35
951,223
976,517
517,258
18,888
602,489
664,20
339,898
96,345
909,876
817,776
109,938
230,663
344,825
983,751
164,112
618,235
269,99
895,622
387,276
161,689
865,567
912,473
297,327
595,833
394,162
42,761
379,894
970,355
690,359
66,941
261,719
26,240
522,320
180,972
2,305
890,22
727,578
703,471
719,237
994,730
17,739
244,201
764,872
899,580
278,461
647,664
666,264
529,808
539,306
148,435
565,69
459,290
187,479
802,91
986,71
241,294
45,459
579,668
466,844
237,375
89,879
705,467

---

Please maximize the value and give me the answer.
