Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *46222*, maximize the value without exceeding the total weight.

---

value,weight
315,606
415,255
509,481
789,734
446,35
682,492
926,980
788,742
875,164
627,733
364,154
628,758
320,763
651,823
548,283
621,919
347,652
491,891
647,928
826,873
950,596
616,506
521,619
913,777
110,379
71,179
493,873
592,418
879,356
713,290
386,528
929,350
777,682
560,176
952,459
430,844
238,371
328,807
91,523
12,217
89,734
790,748
398,997
236,296
943,94
28,301
681,488
461,140
753,78
154,419
940,13
451,859
496,620
622,423
569,215
243,26
143,280
301,781
997,779
884,109
405,667
607,565
198,358
118,541
127,226
350,775
710,979
214,785
65,715
518,436
598,100
736,648
702,5
230,10
187,222
675,411
11,737
358,22
693,207
616,941
456,220
831,672
530,649
459,612
590,748
53,236
823,766
112,95
201,897
671,14
207,939
102,967
742,907
141,650
41,791
855,848
262,440
393,651
301,219
573,15

---

Please maximize the value and give me the answer.
