Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *18490*, maximize the value without exceeding the total weight.

---

value,weight
912,263
740,568
42,882
522,687
627,748
415,333
715,277
193,663
88,109
904,126
809,67
937,703
269,60
760,256
353,756
834,912
128,101
56,756
196,121
207,10
819,677
925,803
206,668
726,154
355,876
612,884
170,74
829,43
28,669
262,563
23,401
982,47
726,931
477,361
405,940
643,861
547,892
701,976
72,868
697,106
958,551
435,389
867,982
401,737
412,895
393,958
190,617
706,221
6,519
135,772
993,318
336,876
613,669
763,856
286,712
64,683
956,297
426,206
794,220
921,366
42,580
372,30
771,343
699,734
660,739
283,976
795,604
491,746
902,260
387,365
107,373
981,577
27,966
731,155
696,71
752,620
376,290
595,703
362,384
341,534
717,333
116,337
391,42
712,93
587,741
34,725
780,663
837,616
894,274
948,303
348,884
891,448
387,692
98,99
846,152
588,89
747,81
222,140
386,996
234,680

---

Please maximize the value and give me the answer.
