Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *26662*, maximize the value without exceeding the total weight.

---

value,weight
144,687
204,120
522,34
346,231
251,748
743,957
739,525
217,399
184,733
824,574
385,99
377,687
125,380
552,968
225,620
714,128
800,437
368,988
12,561
791,898
91,341
173,667
846,388
110,530
971,844
652,444
658,930
933,187
564,53
814,323
767,929
406,239
678,563
5,737
781,460
571,85
819,300
397,288
520,628
313,794
158,863
715,5
739,470
409,681
308,727
793,142
758,969
10,341
86,31
367,332
561,598
416,692
749,125
523,72
758,824
272,179
580,89
714,982
754,804
825,894
666,588
620,30
259,951
531,790
668,323
475,448
243,508
459,322
390,532
803,133
843,301
333,609
395,398
387,3
384,279
592,604
488,194
843,39
362,656
13,182
757,733
644,81
223,322
528,565
723,765
434,589
692,319
317,384
806,938
276,943
988,604
459,848
139,908
706,955
150,768
724,689
523,649
582,148
810,940
82,448

---

Please maximize the value and give me the answer.
