Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *12841*, maximize the value without exceeding the total weight.

---

value,weight
295,981
168,169
297,223
301,944
59,641
370,199
387,42
437,209
840,482
108,407
216,729
204,752
692,649
219,553
280,2
261,578
591,666
659,773
220,94
203,739
699,82
152,461
85,9
793,884
170,450
104,285
57,607
977,333
219,339
922,892
854,263
265,105
933,297
256,626
157,177
286,598
706,361
96,338
912,249
821,980
837,236
543,271
347,803
36,851
324,988
444,920
510,599
414,559
598,308
123,173
776,212
876,45
956,618
70,329
13,638
83,725
484,182
613,336
809,185
692,359
657,458
607,608
827,557
287,776
524,609
46,401
290,258
87,956
326,625
591,687
858,987
256,467
698,27
639,836
56,429
147,38
927,392
94,208
689,22
953,16
260,627
447,155
575,392
587,615
194,691
158,199
115,813
232,409
685,327
544,616
587,42
631,970
387,490
974,949
597,437
152,354
818,246
233,438
450,409
718,281

---

Please maximize the value and give me the answer.
