Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *44901*, maximize the value without exceeding the total weight.

---

value,weight
904,535
484,872
130,42
994,23
499,748
103,853
491,373
265,871
728,629
312,822
185,811
905,7
837,724
840,688
265,348
122,912
440,813
344,804
996,793
607,378
635,965
317,395
126,180
526,930
555,428
732,212
986,994
141,475
340,469
918,843
255,985
902,271
934,827
61,785
885,852
75,885
11,468
493,616
416,796
545,466
558,191
979,885
483,446
777,273
100,39
297,158
894,673
266,933
598,55
831,452
697,158
928,972
725,37
43,504
54,48
40,523
828,321
642,534
674,972
281,654
914,252
764,382
883,519
195,902
36,139
211,392
843,316
395,826
14,76
987,317
315,157
685,673
483,262
403,699
760,343
272,572
712,354
339,359
362,848
357,830
485,533
52,569
535,882
808,509
995,165
234,317
164,631
925,624
278,266
636,575
268,44
595,648
291,340
274,315
110,648
348,241
427,433
302,868
10,828
130,984

---

Please maximize the value and give me the answer.
