Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *15395*, maximize the value without exceeding the total weight.

---

value,weight
648,122
145,414
658,36
918,181
924,854
779,196
316,911
278,734
889,111
429,44
177,726
877,669
637,446
156,598
257,647
878,31
344,495
492,802
5,355
276,688
20,959
801,930
334,254
274,401
923,335
433,274
442,332
578,962
948,968
403,825
447,660
274,798
214,582
521,423
278,830
71,251
115,662
257,951
785,726
310,897
230,201
696,892
868,320
405,976
605,673
589,517
655,636
695,412
983,217
916,162
641,497
717,242
429,263
47,518
734,27
484,794
805,619
598,301
466,670
893,492
154,47
888,101
932,170
928,989
789,638
327,430
147,47
928,961
343,622
768,276
619,184
705,8
987,824
816,625
649,154
164,867
360,285
199,213
682,475
706,405
133,640
256,424
24,765
20,748
843,768
863,388
884,858
961,350
542,204
673,997
116,7
584,527
988,679
263,394
142,602
889,871
547,347
498,483
547,990
551,958

---

Please maximize the value and give me the answer.
