Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *33432*, maximize the value without exceeding the total weight.

---

value,weight
435,182
599,703
29,977
965,838
822,35
2,220
550,380
764,6
779,540
707,285
788,122
188,774
464,91
507,463
28,771
741,351
27,964
179,659
479,136
594,633
678,932
720,642
881,899
529,753
494,411
31,619
5,665
488,274
991,324
161,530
290,1000
857,158
825,50
32,152
224,939
502,620
966,963
632,495
643,115
748,881
889,70
158,132
526,509
876,352
47,262
276,469
113,136
157,20
673,566
922,859
372,733
371,43
8,164
862,207
97,103
35,530
519,840
13,5
37,195
980,229
781,11
359,213
710,750
286,485
767,994
158,655
262,427
246,209
929,443
102,20
862,172
384,616
334,573
222,162
499,14
835,427
899,833
110,38
693,935
944,293
416,820
303,928
698,369
643,140
454,724
653,372
263,110
632,975
289,233
991,374
567,219
534,567
990,43
181,794
737,175
719,896
486,872
33,643
525,275
725,247

---

Please maximize the value and give me the answer.
