Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *12578*, maximize the value without exceeding the total weight.

---

value,weight
90,769
878,154
284,4
228,265
85,822
905,55
845,415
851,625
90,391
626,600
803,381
843,553
951,630
138,986
139,534
188,250
314,423
410,230
246,203
769,668
541,767
327,229
64,438
600,460
893,326
582,302
804,668
575,861
950,895
24,669
465,667
576,889
336,869
831,931
623,374
285,943
93,86
327,890
74,62
411,604
896,465
461,15
389,528
131,339
78,785
579,672
616,691
316,455
696,473
137,190
155,960
938,102
71,151
957,370
256,378
306,973
326,27
108,712
148,606
67,456
412,750
686,16
845,961
149,456
478,565
653,210
357,926
853,476
800,630
325,127
541,839
231,979
589,480
725,181
842,665
946,294
130,524
261,377
348,18
175,960
775,959
558,779
753,508
762,887
397,223
748,239
110,745
815,26
48,12
526,721
118,94
877,810
837,854
716,133
632,866
574,875
77,67
688,870
804,214
996,266

---

Please maximize the value and give me the answer.
