Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *42834*, maximize the value without exceeding the total weight.

---

value,weight
962,465
438,10
500,668
524,497
581,822
921,847
997,111
947,217
826,535
306,96
755,157
603,841
375,966
714,778
571,638
4,466
594,823
658,862
214,667
753,924
629,719
967,37
272,374
784,612
709,846
742,190
108,796
991,437
798,727
232,357
793,131
920,657
496,397
943,379
479,158
645,191
829,70
167,194
866,398
523,300
344,769
637,127
877,480
515,523
662,409
883,704
536,99
180,639
368,521
713,430
75,728
610,662
23,975
645,234
848,826
842,309
822,195
316,464
988,294
683,624
908,78
326,720
93,745
477,328
862,197
421,98
205,542
725,132
48,718
341,847
837,551
935,107
61,208
53,573
594,145
306,582
578,492
901,17
700,754
863,904
583,207
22,755
81,628
674,127
941,671
996,47
54,721
383,154
344,20
542,985
678,974
149,762
141,718
852,205
848,626
118,979
533,339
480,606
204,638
92,338

---

Please maximize the value and give me the answer.
