Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *24191*, maximize the value without exceeding the total weight.

---

value,weight
175,405
984,721
777,727
125,840
683,641
50,823
763,642
461,945
936,106
28,855
792,409
644,736
548,321
363,913
800,866
141,794
263,354
971,357
388,886
787,979
971,746
48,325
725,729
177,260
786,418
792,845
545,463
81,477
755,723
474,652
598,791
689,297
885,929
784,650
533,49
214,822
978,121
792,650
360,9
437,316
37,900
823,887
219,291
44,147
220,468
196,752
78,951
718,31
30,820
355,733
344,492
956,861
444,74
830,545
485,398
291,573
108,974
901,112
769,769
596,887
281,466
855,608
963,165
119,832
884,193
590,873
90,162
55,884
462,897
7,455
594,915
256,499
66,459
647,684
744,637
987,22
391,296
342,544
689,294
625,16
300,27
975,899
407,672
403,87
330,715
206,63
675,469
712,529
245,991
224,608
227,762
199,370
139,706
934,805
901,53
288,954
946,814
945,446
874,353
918,49

---

Please maximize the value and give me the answer.
