Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *6983*, maximize the value without exceeding the total weight.

---

value,weight
768,698
681,862
178,532
94,285
300,854
451,924
940,663
254,998
793,487
509,244
601,694
437,685
781,774
12,238
737,783
998,463
24,159
180,570
837,915
44,800
748,647
553,66
694,534
890,25
955,367
393,714
954,124
122,818
60,584
851,65
351,132
850,606
262,950
993,47
902,958
143,27
195,254
561,287
337,966
694,561
382,537
64,276
996,184
397,680
709,841
837,685
87,284
743,292
903,705
684,602
425,217
637,426
941,807
287,302
262,915
924,298
533,827
310,525
506,86
989,964
178,39
640,101
444,562
96,933
429,406
135,958
347,143
960,33
855,350
1000,860
531,256
705,976
619,392
808,777
961,298
324,883
248,381
951,877
682,203
34,405
445,240
728,680
192,485
204,276
355,744
463,524
324,850
481,230
630,540
993,5
476,287
16,127
236,463
655,538
838,986
401,271
771,779
138,123
771,46
351,542

---

Please maximize the value and give me the answer.
