Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *20270*, maximize the value without exceeding the total weight.

---

value,weight
764,334
53,690
46,288
978,129
736,354
119,832
328,35
290,426
437,571
65,944
613,66
273,337
65,282
552,778
517,579
642,139
4,515
472,270
737,751
568,484
656,115
749,214
330,290
790,413
231,819
453,878
38,936
630,534
216,484
679,205
819,600
310,218
690,74
285,259
466,90
859,863
751,218
957,107
685,930
618,565
506,357
12,24
304,740
585,124
377,413
465,609
939,136
523,472
523,797
32,766
101,637
81,974
673,491
251,626
970,231
88,718
793,15
594,865
446,962
345,432
790,51
12,777
1000,974
844,841
793,754
99,490
871,499
236,573
411,258
476,336
311,972
557,524
847,716
820,373
317,758
584,535
92,913
323,881
358,935
718,553
329,340
196,796
764,905
752,984
735,780
739,496
664,686
525,410
322,712
837,817
936,867
692,51
688,787
67,822
618,910
781,347
111,807
502,663
935,962
475,18

---

Please maximize the value and give me the answer.
