Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *5214*, maximize the value without exceeding the total weight.

---

value,weight
563,486
39,847
165,313
21,606
326,35
986,428
398,36
316,62
43,44
27,789
188,698
428,134
40,755
931,671
596,315
925,135
395,564
931,27
511,24
258,377
590,332
80,186
673,315
697,601
678,891
223,731
701,537
72,698
791,140
953,842
962,536
161,390
665,522
920,352
368,155
142,372
582,627
792,191
851,779
284,185
441,766
334,20
38,557
492,168
111,990
972,437
193,376
645,836
649,518
346,619
452,965
699,483
408,340
174,343
505,655
499,194
375,672
805,901
845,859
364,61
285,331
719,509
462,966
958,613
383,362
390,767
414,811
374,553
329,355
734,948
566,460
680,488
510,197
894,770
747,182
123,139
451,865
118,46
693,199
904,349
960,220
839,952
370,601
379,900
910,276
53,916
319,134
64,495
345,225
975,462
7,339
262,967
686,179
45,722
521,415
823,144
678,952
593,555
477,851
629,175

---

Please maximize the value and give me the answer.
