Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *29290*, maximize the value without exceeding the total weight.

---

value,weight
613,40
89,289
271,99
23,416
928,461
844,590
680,518
70,616
781,822
429,111
782,436
94,272
146,13
237,193
462,197
95,689
861,286
533,133
529,218
156,643
400,374
122,420
739,21
755,59
32,861
1,37
639,259
234,740
913,198
923,636
732,266
451,352
435,988
386,370
442,373
144,350
864,157
258,409
293,957
110,379
827,984
536,758
48,55
958,954
361,152
814,831
539,858
767,254
363,520
924,925
534,23
973,269
818,998
704,369
67,769
277,820
889,570
695,511
391,581
126,319
151,829
673,551
432,368
88,207
937,468
528,537
824,749
608,939
475,165
688,782
296,638
634,666
544,87
568,540
645,608
29,101
301,67
424,360
31,569
426,719
474,446
393,370
60,835
693,934
264,206
15,886
241,192
610,385
443,971
569,144
337,429
520,929
440,205
799,476
523,889
353,34
816,210
851,373
295,493
487,833

---

Please maximize the value and give me the answer.
