Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *19901*, maximize the value without exceeding the total weight.

---

value,weight
970,193
342,706
412,508
52,161
709,822
585,327
221,15
875,361
186,15
546,400
379,413
283,537
807,302
282,346
659,398
716,466
634,759
722,814
62,643
353,556
813,431
575,93
704,510
984,836
509,942
622,862
292,524
679,5
486,279
576,429
209,195
1000,81
288,501
359,955
999,894
213,167
365,494
375,554
522,470
27,940
96,129
93,631
261,16
139,635
974,617
331,504
832,43
620,575
776,985
17,750
723,888
18,918
559,607
717,586
728,490
866,469
950,819
748,488
108,542
971,336
36,758
934,368
981,569
981,512
838,149
845,682
157,830
821,52
936,902
741,895
629,767
583,11
957,912
733,29
530,873
786,278
242,428
157,713
700,290
847,608
815,359
86,523
585,788
578,711
533,247
796,455
670,401
943,146
960,28
854,713
758,814
445,210
589,70
676,637
936,482
710,827
853,635
48,230
228,158
196,34

---

Please maximize the value and give me the answer.
