Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *27126*, maximize the value without exceeding the total weight.

---

value,weight
850,617
158,258
892,660
876,705
333,822
913,951
597,263
899,97
634,639
466,848
603,93
723,521
663,974
426,58
179,910
596,682
954,447
34,46
230,435
937,796
85,743
823,957
992,582
368,212
125,910
662,422
780,732
783,149
374,311
128,189
953,723
424,273
592,133
887,979
375,766
789,391
637,254
423,218
970,230
291,628
296,793
373,895
133,504
499,931
870,97
731,688
400,395
572,47
856,497
249,310
291,168
98,382
47,63
477,802
552,602
74,965
574,611
36,264
68,126
875,864
660,414
182,368
469,529
813,216
846,381
37,154
605,734
789,980
424,174
157,663
365,695
583,43
325,344
389,877
218,81
626,262
354,684
405,697
700,210
519,608
503,407
614,267
417,68
394,183
669,271
196,319
582,409
423,914
520,692
534,353
398,534
13,610
989,286
284,493
240,746
846,427
981,203
760,238
4,102
44,802

---

Please maximize the value and give me the answer.
