Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *11950*, maximize the value without exceeding the total weight.

---

value,weight
385,980
901,261
923,191
963,28
220,961
496,58
916,546
10,452
41,762
305,963
194,384
170,636
6,833
553,941
810,537
571,797
561,242
577,201
461,942
696,719
220,242
678,408
815,193
471,295
140,441
253,313
67,591
974,880
869,266
543,736
520,270
567,548
55,584
566,134
150,721
500,290
36,785
166,277
849,585
922,687
503,500
956,394
868,11
762,214
797,100
786,723
119,654
35,602
311,916
344,201
290,675
97,257
598,506
980,181
535,989
905,904
5,942
123,747
491,121
218,971
915,161
405,523
740,348
508,243
565,536
372,533
500,489
12,823
431,985
796,538
780,642
782,438
948,683
900,744
601,588
929,465
697,279
804,372
355,565
422,923
902,946
397,510
656,135
329,754
748,146
691,50
989,700
86,85
191,487
397,692
237,129
276,605
588,665
427,688
87,701
837,6
348,966
775,825
707,633
515,589

---

Please maximize the value and give me the answer.
