Problem: 0/1 Knapsack Optimization from CSV
You are given a list of items in a CSV format. Each item has a value and a weight. Your task is to select a subset of these items to put into a knapsack such that:

The total weight should not be exceeded.

The total value is maximized.

You cannot take fractional items, and you cannot take the same item more than once.

Please note that the total weight is *43302*, maximize the value without exceeding the total weight.

---

value,weight
51,465
820,101
773,635
185,580
391,141
46,355
527,614
521,461
28,814
152,3
380,813
568,724
688,501
47,165
100,526
665,686
563,398
927,289
456,162
247,903
151,526
492,985
1,557
461,24
678,838
892,217
117,131
341,985
799,655
854,552
458,787
573,101
617,685
604,886
825,701
858,882
806,493
236,134
804,381
625,8
9,384
51,251
399,335
240,887
136,520
224,508
146,155
802,683
82,776
935,457
588,192
832,873
664,214
554,733
369,178
663,489
992,602
825,876
669,229
856,235
165,134
123,636
7,537
699,796
904,125
394,229
414,422
651,648
506,77
899,699
110,559
460,727
662,863
315,480
140,657
87,658
995,732
962,532
365,298
981,812
872,527
971,759
163,372
767,267
846,775
882,899
927,961
236,829
849,827
396,708
327,62
795,46
991,246
306,945
337,889
804,982
62,58
669,346
462,861
890,645

---

Please maximize the value and give me the answer.
